budget_name,amount,date,description
Housing,1500.00,2025-01-01,Monthly Mortgage/Rent
Groceries,82.45,2025-01-02,Weekly shop - Whole Foods
Dining Out,24.50,2025-01-03,Lunch with coworkers
Transportation,45.00,2025-01-04,Gas station fill-up
Entertainment,15.99,2025-01-05,Netflix Subscription
Healthcare,25.00,2025-01-07,Pharmacy - Vitamins
Utilities,115.30,2025-01-08,Electric Bill
Groceries,64.20,2025-01-10,Trader Joe's run
Miscellaneous,12.00,2025-01-12,Dry cleaning
Insurance,150.00,2025-01-13,Auto Insurance Premium
Dining Out,55.00,2025-01-15,Friday Night Dinner
Transportation,32.00,2025-01-16,Train pass refill
Groceries,91.10,2025-01-18,Weekly shop - Safeway
Utilities,84.70,2025-01-20,Water & Trash Bill
Savings,500.00,2025-01-21,Transfer to Emergency Fund
Entertainment,40.00,2025-01-22,Movie tickets and snacks
Healthcare,75.00,2025-01-24,Dentist co-pay
Groceries,45.00,2025-01-25,Farmers Market
Dining Out,12.50,2025-01-26,Morning Coffee & Pastry
Transportation,48.00,2025-01-27,Gas station fill-up
Miscellaneous,35.00,2025-01-28,Gift for birthday
Groceries,22.00,2025-01-29,Mid-week milk and bread
Entertainment,12.00,2025-01-30,Kindle E-book purchase
Dining Out,38.00,2025-01-31,Weekend Takeout
Transportation,15.00,2025-01-31,City Parking